151,150,file_name,1028,60,63,64,65,112,142,52,100,9818,48,49,44,40,41,1,541,6,9,8,75,200,115,9509,205,207,9524,9525,9506,20,9843,76,108,127,128,129,442,167,58,11,10,39,38,15,14,17,98,55,32,57,56,37,50,35,34,9515,59,116,9513,54,111,31,110
,,DR/input_log_file.txt,,,,,,,,20190502-04:17:50.467,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,SEBWHITE,,,0,814,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:17:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,815,,236,,,,,,,,,,BLPTB,,,0,814,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:18:20.469,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,SEBWHITE,,,0,815,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:18:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,816,,236,,,,,,,,,,BLPTB,,,0,815,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:18:50.471,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,SEBWHITE,,,0,816,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:18:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,817,,241,,,,,,,,,,BLPTB,,,0,816,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:19:20.473,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,SEBWHITE,,,0,817,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:19:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,818,,241,,,,,,,,,,BLPTB,,,0,817,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:19:50.474,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,SEBWHITE,,,0,818,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:19:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,819,,246,,,,,,,,,,BLPTB,,,0,818,,,,,,,,
